seed,r2,mae,separation_quality,n_trees,max_questions_per_tree,total_questions,n_candidate_rules,n_pareto_rules,n_diverse_rules,min_pairwise_trajectory_distance,mean_pairwise_trajectory_distance
0,0.0935038276036011,7391.209660141235,4332.0208725695875,7,9,46,,,,,
1,0.061543448044438676,7361.40172475541,4369.944182813637,8,12,52,,,,,
2,0.09399087893480118,7323.2264915587575,4118.642067295646,3,12,19,,,,,
3,0.14490340970447768,7186.296049949483,4230.4530653544225,5,12,34,,,,,
4,0.12749674757341833,7278.5531283533865,4469.563381022538,5,11,31,,,,,
5,0.07527295818392121,7396.9466920533305,4379.246231483551,6,10,36,,,,,
6,0.13230868624022962,7169.2627836522715,4384.961854167702,5,7,35,,,,,
7,0.10888322441496501,7345.1567249744485,4390.708022873338,7,10,46,,,,,
8,0.1105847103299562,7254.366196363976,4351.157642625462,6,8,38,,,,,
9,0.13709343081916714,7266.216381869466,4591.833333532006,7,9,47,,,,,
10,0.1217212015854936,7291.242029524277,4215.528086599506,4,8,27,,,,,
11,0.11162562906292628,7427.5250726181375,4429.857202062685,4,4,16,,,,,
12,0.12348593351714376,7267.409631905996,4400.180731203483,6,10,38,,,,,
13,0.12209559203107267,7423.398802286756,4460.283097148679,5,4,20,,,,,
14,0.13531529599455028,7165.015495032889,4618.593581252043,6,12,39,,,,,
15,0.07407163747013812,7374.764881778667,3889.4600435353714,3,9,20,,,,,
16,0.06099952636106942,7403.761088406586,4334.535041909188,4,9,26,,,,,
17,0.10042577614885939,7342.951217719357,4322.166847735163,4,10,26,,,,,
18,0.1379085999957661,7131.157806313857,4451.655711865554,5,7,33,,,,,
19,0.13264157630676465,7265.798703685177,4499.402674223464,8,9,50,,,,,
20,0.12894673403585133,7277.24046928509,4407.031706995759,6,8,41,,,,,
21,0.13314247407506552,7204.202395705444,4441.527125017013,4,12,26,,,,,
22,0.13198555624034614,7225.650779970042,4341.056187733172,8,8,53,,,,,
23,0.10889304047583614,7337.728798680753,4215.405974117593,6,10,38,,,,,
24,0.10984619996213696,7298.414308262495,4203.954690481182,5,7,33,,,,,
25,0.11883049343109331,7312.337332062269,4440.860721444965,7,10,44,,,,,
26,0.12754830482799984,7243.625787678233,4555.311189721203,8,10,51,,,,,
27,0.12759125442171526,7163.059170586567,4299.040378885039,6,12,41,,,,,
28,0.14634564685771312,7104.792461604119,4514.645001349482,4,9,27,,,,,
29,0.1005865984417661,7287.287465093209,4425.979633113963,8,7,47,,,,,
30,0.0966008444773293,7322.365681865463,4417.140337122219,8,9,51,,,,,
31,0.1339098276669799,7185.769653407277,4373.110432493019,5,11,34,,,,,
32,0.1245782192393532,7254.709522301715,4338.399320808534,6,9,38,,,,,
33,0.1295215395490834,7247.160875290736,4587.943427655049,7,11,44,,,,,
34,0.1014886785965522,7315.71884194125,4520.358743976179,4,10,26,,,,,
35,0.1308091932187918,7160.181332327492,4332.552720141209,4,11,27,,,,,
36,0.15028795206915768,7121.998370297535,4614.755009090779,8,6,48,,,,,
37,0.06595962360736796,7405.250778302554,4518.907410617428,6,9,40,,,,,
38,0.13585517341857545,7166.545243538272,4433.458983569202,4,9,28,,,,,
39,0.0841959875681616,7666.909070075443,3932.2120398578477,4,4,16,,,,,
40,0.13379870427760276,7202.2676679920705,4476.166984891459,6,11,38,,,,,
41,0.12316656598302544,7177.587305278979,4297.935429948112,3,7,20,,,,,
42,0.13503624631330502,7257.616654630389,4483.312790035706,6,11,40,,,,,
43,0.09823188470332544,7499.141595608611,4622.378557205149,7,4,28,,,,,
44,0.11084273525902477,7380.405549084485,4292.153275415739,7,7,43,,,,,
45,0.11163748530816653,7380.704481012519,4352.919559471931,6,7,39,,,,,
46,0.12339835750060446,7344.703481836598,4408.836513100418,8,9,52,,,,,
47,0.09419798802916446,7362.140651304352,4088.810832098807,3,12,19,,,,,
48,0.12220398267191757,7177.485374746703,4085.9734607661194,3,7,20,,,,,
49,0.15705395513881082,7093.993082464229,4677.7309483081735,5,12,34,,,,,
50,0.10986647075877021,7386.4503343065,4429.809878786021,3,4,12,,,,,
51,0.14035299066392426,7164.601278677518,4399.016105561009,4,9,28,,,,,
52,0.11933355213662189,7328.5698157567695,4441.3597034866925,8,11,54,,,,,
53,0.14402466727477492,7204.211388820528,4425.912473626656,4,9,28,,,,,
54,0.1198296340469871,7278.6776022770455,4458.137774627336,8,6,46,,,,,
55,0.136709151358551,7195.2978002793625,4315.7449248412595,8,11,51,,,,,
56,0.10286430421030279,7294.472737916008,4426.652104884459,8,8,51,,,,,
57,0.14218950196778368,7182.176798873239,4656.123237592642,8,10,53,,,,,
58,0.10271918929083934,7460.585870276862,4285.644500360079,6,4,24,,,,,
59,0.12576160454911045,7222.089314589988,4306.463707384857,4,11,26,,,,,
60,0.13483943520775987,7213.611296475703,4511.899191501673,8,5,40,,,,,
61,0.13008011323034907,7229.427727217319,4373.000484864374,6,6,35,,,,,
62,0.09901693886971652,7397.136095077439,4106.50381923339,5,12,33,,,,,
63,0.09856731945152253,7331.525993595487,4328.743223290233,7,8,43,,,,,
64,0.15467271153235396,7081.838417577738,4563.975760520446,7,10,48,,,,,
65,0.13577706426569125,7173.001021439772,4294.749933172848,8,12,52,,,,,
66,0.10077208682100003,7270.931521023622,4342.550314922258,7,11,47,,,,,
67,0.13644116374879534,7282.385159213319,4163.236545447296,6,9,39,,,,,
68,0.13085890949421053,7236.121904848194,4193.955155597727,5,11,33,,,,,
69,0.130400166763459,7199.561790122769,4297.312329644377,6,11,42,,,,,
70,0.09502203035482415,7395.976284392803,4249.589729940943,5,12,35,,,,,
71,0.11533498538513909,7292.255588498231,4403.642601690722,6,11,39,,,,,
72,0.10157890209362697,7322.504309451863,4065.913376358271,3,7,19,,,,,
73,0.11607580570537868,7478.185497979903,4161.776489708875,5,4,20,,,,,
74,0.12882426810182246,7210.848306712558,4324.659165415279,6,8,39,,,,,
75,0.10283371259579677,7554.555424938462,4238.0912755839745,3,4,12,,,,,
76,0.10365417297464141,7268.432156630914,4299.810234299421,4,11,24,,,,,
77,0.1428397063266812,7184.353488060179,4499.266259267035,7,8,46,,,,,
78,0.1406751081462324,7210.569116583321,4400.8715944704645,8,10,52,,,,,
79,0.13819049563429375,7174.405875462022,4423.390799655331,8,7,54,,,,,
80,0.10956572240823981,7371.157433358123,4338.120597462376,7,10,44,,,,,
81,0.1276003242117033,7258.326857986366,4272.727792487993,6,5,30,,,,,
82,0.14782163435075246,7136.332735956572,4363.784985378396,6,6,36,,,,,
83,0.10483798833170188,7322.396972090733,4241.086071785655,5,11,31,,,,,
84,0.08040416449754839,7323.738502366185,4475.99783365451,5,5,25,,,,,
85,0.059685493141381385,7656.441483289451,4451.863386162214,5,4,20,,,,,
86,0.1253113191376991,7396.702018378959,4334.224820864682,7,4,28,,,,,
87,0.12606011896112335,7299.508839096257,4475.910580183543,8,10,50,,,,,
88,0.1076197588627904,7462.70313505655,4157.629353062249,3,4,12,,,,,
89,0.08870380411466672,7406.260989639498,4326.653647284002,6,8,35,,,,,
90,0.12181946362551532,7302.202750504273,4314.847818419492,6,6,36,,,,,
91,0.11098475207985092,7280.831017196843,4355.371924722186,5,6,29,,,,,
92,0.08875118973253793,7337.035386808536,4327.585602272012,5,7,32,,,,,
93,0.14645769565337474,7124.899855642333,4588.870904129021,8,8,52,,,,,
94,0.11292594433672154,7361.031270301651,4433.484717233393,6,6,35,,,,,
95,0.10394169319628999,7349.171285145966,4439.4111088458585,4,7,25,,,,,
96,0.14108538554253103,7194.275851379094,4306.70658145171,7,10,47,,,,,
97,0.10414131573762597,7376.991980494408,4380.351446096342,5,7,31,,,,,
98,0.12831188895085321,7227.66271415055,4201.41231772538,5,8,31,,,,,
99,0.11247533938825205,7230.047570794194,4280.03144117051,4,7,27,,,,,
100,0.12090302050405077,7250.912334094091,4346.091323244954,3,12,19,,,,,
101,0.11474489525656162,7399.1823154894355,4207.684703661279,6,5,30,,,,,
102,0.14999367728920632,7040.559750956835,4121.79225805471,3,7,21,,,,,
103,0.14122947652800044,7290.730021233989,4365.364705456497,4,7,26,,,,,
104,0.12605624313750396,7301.6528745590385,4379.596274575717,8,5,40,,,,,
105,0.1376285896942253,7184.4625765532255,4226.810519434071,3,9,19,,,,,
106,0.12265411115513425,7160.109866928769,4145.515168257778,5,11,32,,,,,
107,0.07309714141462986,7457.7008636276705,4148.04168733839,3,10,18,,,,,
108,0.05294675838450802,7516.467227390242,4388.323365175551,6,11,35,,,,,
109,0.1342789278561609,7190.737372812334,4454.9362848217415,8,9,50,,,,,
110,0.1104158814374413,7367.9531051966605,4293.5510163887475,3,7,18,,,,,
111,0.12693883268210238,7360.912473351288,4358.779412537496,7,8,41,,,,,
112,0.14398445082756461,7145.431889347542,4334.982950963225,7,12,46,,,,,
113,0.13797894497382068,7253.049721258563,4397.956423631823,8,6,48,,,,,
114,0.11874572389098259,7230.644060435309,4335.671480227773,5,7,30,,,,,
115,0.10560055266688095,7365.827323992962,4505.262850559048,5,4,20,,,,,
116,0.13172798677879427,7217.458083843193,4492.217321686926,8,10,50,,,,,
117,-0.004993062898863476,7840.798107027194,4197.375462160391,3,4,12,,,,,
118,0.11391194652526815,7338.459056975386,4016.58480388104,3,6,18,,,,,
119,0.12860577139816365,7219.037864629533,4457.774068285668,5,6,30,,,,,
120,0.057756428559379014,7549.938834209243,4340.0896876896195,3,12,18,,,,,
121,0.09301977904938918,7390.300521411068,4141.804415086665,5,9,35,,,,,
122,0.14301567600730847,7200.508458625056,4316.070829909338,5,10,33,,,,,
123,0.13630929302134098,7208.341821325055,4421.866832440346,8,6,48,,,,,
124,0.12370976086502994,7313.556313647047,4416.9533817807105,7,5,35,,,,,
125,0.1109438186160262,7324.108655972425,4399.8517424677,8,6,46,,,,,
126,0.11733560138709853,7316.858407974009,4277.271066520684,5,5,25,,,,,
127,0.09979612033104435,7405.138675630612,4329.869769539941,4,6,23,,,,,
128,0.14210309239571606,7080.069157277668,4372.48173926087,5,7,32,,,,,
129,0.10337382244071547,7349.978629439686,4533.80911126786,3,12,18,,,,,
130,0.0757243490895183,7393.663422970159,4175.569135152554,4,9,26,,,,,
131,0.10872109028969146,7258.00028179084,4556.727189622648,6,11,38,,,,,
132,0.12189705257784267,7214.770475052493,4565.08550391224,4,5,20,,,,,
133,0.11615848519521843,7298.849571388521,4263.02860275227,4,12,27,,,,,
134,0.11396415358173295,7379.9095541884335,4187.760858617885,6,10,39,,,,,
135,0.10678209578942677,7248.704916124141,5869.247219940019,6,9,39,42.0,21.0,3.0,0.3074667282870384,0.35777035862843737
136,0.13570091815523988,7182.813783995746,4297.230113009645,4,9,28,,,,,
137,0.13718677995691853,7233.014464590432,4339.907148681486,8,7,50,,,,,
138,0.13454670918841516,7268.117107270038,4364.7750791921835,5,5,25,,,,,
139,0.13161102424426918,7355.98684925493,4338.424510796728,7,4,28,,,,,
140,0.09797554260735863,7212.7119780050625,4112.251721375748,3,10,21,,,,,
141,0.09139591472789177,7376.268365963993,4034.1635618411674,4,11,25,,,,,
142,0.13865730692527733,7193.596699735726,4411.751391716362,8,9,52,,,,,
143,0.10943292096271096,7447.067022888926,4181.337717714406,4,5,20,,,,,
144,0.07904308102558832,7447.201614134493,4044.9283934071686,7,12,45,,,,,
145,0.1194342520580598,7308.239591777844,4395.076764163906,8,9,54,,,,,
146,0.14604693682421277,7200.244609578205,4536.432170113608,6,6,35,,,,,
147,0.12926915804190586,7248.371408565325,4086.1762530717497,3,11,20,,,,,
148,0.06241469375437536,7385.789841507363,4470.289605208244,6,7,38,,,,,
149,0.04736668358914564,7527.762771356886,4236.4210447227215,4,9,23,,,,,
