seed,r2,mae,separation_quality,n_trees,max_questions_per_tree,total_questions,n_candidate_rules,n_pareto_rules,n_diverse_rules,min_pairwise_trajectory_distance,mean_pairwise_trajectory_distance
361,0.33122067534551214,3325.2506274328007,7738.030543133704,10,14,76,90.0,16.0,4.0,1.0163600972322098,1.7119091614109425
866,0.3742656782920807,3243.1503208657773,7788.5152877349,8,14,70,90.0,11.0,4.0,0.6537986352359763,1.4307784837509965
608,0.3364115147210983,3298.226026139002,7970.040705671069,10,11,71,83.0,11.0,4.0,0.5852861338293943,1.5940842148051377
247,0.3759301358907844,3383.6735715861837,7772.738227775951,8,14,53,58.0,10.0,3.0,2.048900394485298,3.0329356061446333
733,0.3944892014764556,3227.928673673236,7840.140657479506,10,16,78,96.0,15.0,3.0,0.940698897166361,1.7325566631726854
450,0.39367145792377634,3529.709591174966,7817.580851360322,10,16,74,83.0,9.0,3.0,0.935338355703706,1.5321286407621333
392,0.34967260292612334,3243.3975855737394,7756.831527966516,9,17,77,100.0,9.0,3.0,0.7353905032427828,1.5144646965948603
139,0.2902394205242673,3235.047542642283,7757.325381280916,9,6,51,57.0,12.0,3.0,0.4948085749755824,1.411451367190536
108,0.378965687972317,3092.115543224918,7850.238323431902,8,13,63,72.0,9.0,2.0,2.3116681159316204,2.3116681159316204
960,0.32412616593624377,3495.566903194564,7883.580772720616,10,12,76,91.0,10.0,2.0,2.262769995861822,2.262769995861822
707,0.3194154063749798,3401.682378323508,7738.004465705505,8,15,56,65.0,8.0,2.0,2.2179094476356016,2.2179094476356016
727,0.3135944049309831,3663.6555699042183,8131.918321589863,7,10,56,62.0,9.0,2.0,2.021689308119694,2.021689308119694
564,0.36841495538570246,3851.4446030069057,7731.5466683173545,6,10,50,59.0,8.0,2.0,1.9866466397747202,1.9866466397747202
511,0.35898049597144865,3418.230932140147,8020.75810712269,10,11,78,102.0,8.0,2.0,0.6643963928672852,0.6643963928672852
454,0.5578243104962468,3029.079909940123,8005.456671366815,8,16,54,60.0,7.0,2.0,0.6332919844948781,0.6332919844948781
698,0.29703458520635606,3495.7306980157045,7809.373867531288,7,14,47,53.0,7.0,1.0,0.0,0.0
153,0.4123042036735032,3123.7626184838514,7754.023605678107,9,6,54,64.0,12.0,1.0,0.0,0.0
835,0.35472688598379587,3819.7030879689296,7739.461516549626,10,6,58,69.0,9.0,1.0,0.0,0.0
628,0.481884968030993,3148.6841563055004,7832.6548608582425,8,14,59,66.0,7.0,1.0,0.0,0.0
