seed,r2,mae,separation_quality,n_trees,max_questions_per_tree,total_questions,n_candidate_rules,n_pareto_rules,n_diverse_rules,min_pairwise_trajectory_distance,mean_pairwise_trajectory_distance
0,0.3761364158171565,3144.717590388147,7152.638336729534,9,11,72,,,,,
1,0.3359274018839512,3431.166183361572,7547.9248455018615,10,17,86,,,,,
2,0.2755345239133923,3512.141286013363,6948.367531532723,5,14,45,,,,,
3,0.2921204852695708,3443.498184376099,6837.297778890342,7,14,62,,,,,
4,0.3619810652544332,3492.7993810119933,6050.096391624317,7,13,51,,,,,
5,0.3973489203566918,3233.207297425683,7683.689843673582,8,12,59,,,,,
6,0.32780497604392256,3282.1893829278292,7076.184292522184,7,15,48,,,,,
7,0.44090822848531186,3264.3318824131816,7405.8673972942115,9,15,57,,,,,
8,0.3967759433416448,3199.7187602085432,6978.879640269988,8,10,61,,,,,
9,0.4174112578094251,3069.3014451235135,7376.682153489277,9,11,66,,,,,
10,0.3794543847825216,3582.05266351928,6891.554725507235,6,10,53,,,,,
11,0.23239036167891547,3447.017507461919,7594.905087733081,6,6,35,,,,,
12,0.3089370559796515,3491.7380604213035,7276.647120172615,8,17,71,,,,,
13,0.39558220859767534,3371.9818395351876,5543.89561900135,7,6,39,,,,,
14,0.43991651576148627,3179.9325173857774,6775.582421764318,8,14,56,,,,,
15,0.3596650450307062,3483.5996433716737,6417.067899370776,5,11,41,,,,,
16,0.3399772065835178,3535.7524259720385,6385.639831433825,6,15,43,,,,,
17,0.3251084410194903,3305.1067924926965,7097.050021434051,6,12,49,,,,,
18,0.4135987042716841,3476.828193177742,6450.038277309268,7,9,50,,,,,
19,0.4097500904448129,3321.1114173775486,7302.516259444477,10,11,74,,,,,
20,0.2783554236054473,3307.123268511667,7693.196849937879,8,16,61,,,,,
21,0.28949347332625197,3598.6189588700386,6849.700380354399,6,14,48,,,,,
22,0.2756064768216888,3366.187119636193,7711.3106232907985,10,10,80,,,,,
23,0.3044542734680987,3409.945544052106,7242.367562074648,8,12,61,,,,,
24,0.31126891107686416,3595.2077817831973,6317.997071201781,7,9,49,,,,,
25,0.4463184447538384,3416.84474410288,7322.704982335775,9,16,66,,,,,
26,0.41233398044100633,3473.8114264314827,7031.346218503514,10,12,76,,,,,
27,0.5026354561518709,3260.486015582952,6837.872916294054,8,14,60,,,,,
28,0.3298997650689288,3315.5947552430066,7624.222866439856,6,15,59,,,,,
29,0.38041311297433633,3396.059050894344,7240.611732624796,10,9,76,,,,,
30,0.24351974788635244,3763.90598955459,7474.4643126026685,10,11,81,,,,,
31,0.33050525131464625,3270.4353386110374,7468.8963463354075,7,13,68,,,,,
32,0.5314083810792583,2983.5642734923936,7123.305805078318,8,11,56,,,,,
33,0.4048787451671978,3371.9053054134815,7343.561774612631,9,13,74,,,,,
34,0.3668937138182268,3150.5366968632193,7416.263818941768,6,16,48,,,,,
35,0.4017499057956395,3475.813503631904,7135.130230014346,6,18,53,,,,,
36,0.4031287286571641,3187.2373264996004,7451.75406241544,10,8,77,,,,,
37,0.43827507504824015,2984.495629135373,7100.183346001981,8,18,68,,,,,
38,0.49001780240315784,3198.5377321803076,6855.5636384820245,6,17,44,,,,,
39,0.2883091413031521,3186.327947303418,7075.841336179846,6,15,38,,,,,
40,0.2762092474719966,3492.376911305533,7258.7321963688955,8,13,63,,,,,
41,0.25054808045721344,3601.4014326206966,7126.054275434889,5,9,41,,,,,
42,0.41727915565516616,3437.9776626745734,6422.92964384831,8,18,60,,,,,
43,0.321765104640931,3717.806316427234,7306.232276354857,9,6,53,,,,,
44,0.3306997107217329,3243.4422321756506,6617.211242497033,9,9,68,,,,,
45,0.35890321444928985,3336.0022883440356,6764.0228083541915,8,9,59,,,,,
46,0.35788665086286187,3297.52023450468,7463.845600445893,10,11,74,,,,,
47,0.32987042579810344,3378.007227206256,6622.613137899111,5,14,39,,,,,
48,0.3148256130546312,3761.493739216821,6877.287072747068,5,9,42,,,,,
49,0.32546233662178037,3689.7647072755667,6973.798701344803,7,14,57,,,,,
50,0.25723409934596686,3561.362599146181,5204.531210343083,5,6,30,,,,,
51,0.353017212946651,3482.8209666549806,6418.767510086732,6,11,42,,,,,
52,0.4097052241420137,3371.899731353758,7201.00800833594,10,18,84,,,,,
53,0.38107023661713935,3489.88843739336,6776.742211991662,6,11,50,,,,,
54,0.39541764608861363,3240.2155963424566,7516.176596119123,10,8,71,,,,,
55,0.3364065519168975,3430.2208463162237,7357.981040102893,10,16,76,,,,,
56,0.42630422016888214,3388.4253799236244,6662.3228276074415,10,10,83,,,,,
57,0.37109597807611894,3476.069223318041,6850.089385643139,10,12,74,,,,,
58,0.3717406819648247,3300.890459267491,7042.069044199617,8,6,47,,,,,
59,0.3935833898714324,3431.8881766130053,6414.543552717137,6,18,43,,,,,
60,0.32449687345638956,3691.9336460712802,6861.048977286694,10,7,63,,,,,
61,0.4486209752010011,3470.224055135583,7517.4918940923635,8,8,54,,,,,
62,0.4047009286710044,3219.4839218545294,7324.699349451595,7,14,55,,,,,
63,0.38026571720475355,3331.1790605436718,7411.371439306661,9,10,71,,,,,
64,0.3997427557750266,3456.365297212262,7424.774438578691,9,12,75,,,,,
65,0.3435917121708816,3584.4621830484343,7372.34385369216,10,14,87,,,,,
66,0.31972059962995103,3240.3436433263096,6691.996460317035,9,18,70,,,,,
67,0.38579584292111846,3253.092971940236,6873.459523691781,8,11,58,,,,,
68,0.2512073549930435,3518.931565453913,6489.447131104395,7,13,54,,,,,
69,0.33582861384169804,3291.295614402071,6776.303568421129,8,15,60,,,,,
70,0.340794307788044,3261.7810693613465,5818.323267474366,7,14,46,,,,,
71,0.3241997855678229,3633.680289050179,7180.127648882561,8,17,60,,,,,
72,0.2805836371541707,3720.9673366538364,6681.041512336952,5,9,43,,,,,
73,0.3710072987969385,3243.441274093475,7086.497635423246,7,16,43,,,,,
74,0.3680586972985157,3516.5653789088997,7037.192326063018,8,15,65,,,,,
75,0.2750620222746646,3271.031425098239,7153.013659012865,5,6,29,,,,,
76,0.4278247206125938,3315.7403103410566,6881.749041190352,6,13,49,,,,,
77,0.30127388661472976,3440.2906423908335,7340.086215466662,9,10,67,,,,,
78,0.29092111925622366,3375.334051019811,7144.48007233741,10,12,76,,,,,
79,0.49268900654406134,3401.384764080823,7365.082050111589,10,16,84,,,,,
80,0.5039984886635435,3101.056568072852,7380.907888315447,9,12,69,,,,,
81,0.28765202095427345,3343.840459456598,6985.112568979355,8,7,54,,,,,
82,0.3292742250878222,3402.5699316619593,7078.789994867749,8,8,63,,,,,
83,0.2799357539617089,3583.8139416469735,7380.803967796862,7,13,58,,,,,
84,0.4204018321714337,3141.151506827342,7206.946284633602,7,7,44,,,,,
85,0.42651373054742137,3454.984834152224,6925.00572574054,7,6,41,,,,,
86,0.26642618601417556,3487.8717609937635,6479.291918285774,9,6,54,,,,,
87,0.4416658931203893,3399.2222318596073,7274.062994103574,10,17,79,,,,,
88,0.29857309684614575,3903.5597560473684,6725.629720411533,5,6,29,,,,,
89,0.41115667063511385,3549.334434864463,7301.203479364016,8,10,60,,,,,
90,0.3372800903944949,3569.711012322808,7048.356235940394,8,8,56,,,,,
91,0.5017591377882231,3442.1356214466773,6623.573245054005,7,16,46,,,,,
92,0.3132069591315356,3185.020950264282,6735.835086791597,7,16,56,,,,,
93,0.42233041568006635,3202.558226235619,7490.09041782272,10,17,82,,,,,
94,0.32554982980034575,3452.49764119401,6989.819054785313,8,8,60,,,,,
95,0.48539474850122855,3044.1546945177683,6749.672366327398,6,9,37,,,,,
96,0.4182198757449712,3253.0005271914083,6971.480384447368,9,16,68,,,,,
97,0.35181611965685244,3195.521729495201,7240.37166796795,7,9,54,,,,,
98,0.3202078764849404,3452.0868776229977,7017.576823224888,7,16,61,,,,,
99,0.32053950911741613,3674.683075904121,6539.939084094421,6,9,42,,,,,
100,0.4320184428566036,3352.6104952966352,6996.7150297739745,5,14,35,,,,,
101,0.41363865585762005,3236.3176190595036,7132.508011468904,8,7,51,,,,,
102,0.4839130369788013,2985.779934229952,7339.366154486117,5,9,36,,,,,
103,0.43940633994058365,3254.353381995409,6932.282876146598,6,9,45,,,,,
104,0.36944403587448804,3638.6793966644423,7213.3496326954,10,7,66,,,,,
105,0.30447298843959647,3729.5101849452785,7271.853594641976,5,11,50,,,,,
106,0.5003530874258307,3280.97870016903,7437.506715601401,7,13,50,,,,,
107,0.279035937008411,3367.2756648032187,6780.757720391426,5,15,37,,,,,
108,0.378965687972317,3092.115543224918,7850.238323431902,8,13,63,72.0,9.0,2.0,2.3116681159316204,2.3116681159316204
109,0.34518141119676404,3308.2492854360576,7556.459342398776,10,11,82,,,,,
110,0.25265053930327863,4319.426089893547,6722.569118120235,5,9,39,,,,,
111,0.3262279140540667,3326.9920365696594,7476.000239959302,9,18,72,,,,,
112,0.4846398737483808,3021.8229300940966,6993.333615835695,9,17,70,,,,,
113,0.3321770122312918,3644.4414970124053,7297.408416639525,10,18,84,,,,,
114,0.39152385554337543,3650.766848950702,7340.024118778606,7,9,55,,,,,
115,0.30045281958678594,3285.205978827833,7478.423665239196,7,6,42,,,,,
116,0.44660624172049057,3289.400936626858,7388.58688311467,10,17,71,,,,,
117,0.46861196035264907,3284.989892227689,5104.60849154068,5,6,29,,,,,
118,0.30608836612230705,3782.4636208406673,6647.026121871368,5,17,43,,,,,
119,0.37507160844973797,3388.3060604490597,7089.612266286975,7,8,48,,,,,
120,0.39152103568356456,3202.1787416654756,6898.704022998451,5,16,36,,,,,
121,0.39674612419973554,3317.6344512756623,7396.448013713867,7,11,57,,,,,
122,0.37722598464080426,3383.509171604397,7423.347087625839,7,16,53,,,,,
123,0.3636630440942983,3337.83523396867,7319.880596057184,10,8,71,,,,,
124,0.41122827416650654,3222.419511056833,6501.392960328255,9,7,61,,,,,
125,0.37047211809651903,3248.5730275188826,6724.699060846647,10,8,74,,,,,
126,0.4117116923009734,3339.5458766223533,7119.609470222055,7,7,48,,,,,
